# Data for the a4a model 
# Full age range
 0 5 
# Full year range
 2007 2022 
# Number of surveys
 1 
# Survey min ages
 0 
# Survey max ages
 4 
# Survey time as a fraction into the year (one for each survey)
 0.6 
# fbar range
 1 3 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 176 
# Observation data frame 
# fleet	year	age	observation	weights
1	2007	0	4.2904088557411	1
1	2007	1	3.45172351136637	1
1	2007	2	1.80626642901012	1
1	2007	3	-0.109711953200649	1
1	2007	4	-1.81926438256501	1
1	2007	5	-3.31963881923329	1
1	2008	0	4.88109241517105	1
1	2008	1	4.20449061052009	1
1	2008	2	1.61244079279132	1
1	2008	3	-0.634246455375629	1
1	2008	4	-1.67881415517776	1
1	2008	5	-3.54678506042379	1
1	2009	0	4.80672610777084	1
1	2009	1	4.03992312840788	1
1	2009	2	2.2641203921913	1
1	2009	3	-0.0727289640862496	1
1	2009	4	-1.52892133754003	1
1	2009	5	-3.87760129925877	1
1	2010	0	3.27791707334692	1
1	2010	1	3.80445312075834	1
1	2010	2	2.28190405431776	1
1	2010	3	-0.34855997073001	1
1	2010	4	-1.81755991069085	1
1	2010	5	-4.22387900461869	1
1	2011	0	2.8565529568972	1
1	2011	1	3.95980125560004	1
1	2011	2	2.11598861332145	1
1	2011	3	-0.445246430002951	1
1	2011	4	-2.1565315194912	1
1	2011	5	-4.05365013084169	1
1	2012	0	2.98172035582737	1
1	2012	1	4.00505612650103	1
1	2012	2	1.65337907824221	1
1	2012	3	-0.839214074371976	1
1	2012	4	-2.15537622955613	1
1	2012	5	-4.97529387572112	1
1	2013	0	2.97347858750762	1
1	2013	1	4.06007439984067	1
1	2013	2	1.85708313765974	1
1	2013	3	-0.399617470179029	1
1	2013	4	-2.54855934967567	1
1	2013	5	-4.02918044301673	1
1	2014	0	3.37690616014333	1
1	2014	1	3.78916464794894	1
1	2014	2	2.02801860287816	1
1	2014	3	-0.748537583680948	1
1	2014	4	-2.9716940408585	1
1	2014	5	-4.87723895865239	1
1	2015	0	2.7491338750049	1
1	2015	1	3.45652488993278	1
1	2015	2	1.45040697733804	1
1	2015	3	-1.14512942960404	1
1	2015	4	-3.02996337843317	1
1	2015	5	-5.8591989424333	1
1	2016	0	3.2549392363069	1
1	2016	1	3.67322101874133	1
1	2016	2	1.13263625786904	1
1	2016	3	-1.54660004819226	1
1	2016	4	-3.31495076550352	1
1	2016	5	-6.20586353074371	1
1	2017	0	2.90096569358799	1
1	2017	1	3.48182961367489	1
1	2017	2	1.34812025002906	1
1	2017	3	-1.38732611963243	1
1	2017	4	-3.43770202041399	1
1	2017	5	-5.25307720744014	1
1	2018	0	3.37997721207756	1
1	2018	1	3.88326934885825	1
1	2018	2	1.40374718790077	1
1	2018	3	-1.07516413202943	1
1	2018	4	-3.73197605948119	1
1	2018	5	-5.88014520808212	1
1	2019	0	2.15441920957005	1
1	2019	1	3.21273016211807	1
1	2019	2	1.73531083086839	1
1	2019	3	-0.882847380495293	1
1	2019	4	-3.49242764490158	1
1	2019	5	-5.3708150110616	1
1	2020	0	2.49567495115024	1
1	2020	1	3.0119854022446	1
1	2020	2	0.990754419687295	1
1	2020	3	-2.02502586763126	1
1	2020	4	-4.8361330904351	1
1	2020	5	-5.74299111834291	1
1	2021	0	3.07494515156471	1
1	2021	1	3.39673869011427	1
1	2021	2	1.17891199752548	1
1	2021	3	-1.58605096580165	1
1	2021	4	-2.7488329650108	1
1	2021	5	-4.88142067929465	1
1	2022	0	2.64126293640239	1
1	2022	1	3.28726044626012	1
1	2022	2	1.50180328423651	1
1	2022	3	-1.72049187749521	1
1	2022	4	-3.32216969908837	1
1	2022	5	-5.52110489632768	1
2	2007	0	4.83949995214831	1
2	2007	1	2.40236416186629	1
2	2007	2	0.0890768222034852	1
2	2007	3	-1.70752513737506	1
2	2007	4	-2.61574563632881	1
2	2008	0	5.57855596107228	1
2	2008	1	2.57752950821347	1
2	2008	2	-0.179197943587218	1
2	2008	3	-1.69591193666891	1
2	2008	4	-2.92915088946911	1
2	2009	0	5.28521594619282	1
2	2009	1	2.5139964364548	1
2	2009	2	0.263476615248963	1
2	2009	3	-2.32063556818001	1
2	2009	4	-3.40644913027805	1
2	2010	0	5.15598536186979	1
2	2010	1	2.16326649398923	1
2	2010	2	0.240466150829625	1
2	2010	3	-2.00539618174429	1
2	2010	4	-5.69425302705798	1
2	2011	0	4.37060721157747	1
2	2011	1	2.34874133556153	1
2	2011	2	-0.344377961266416	1
2	2011	3	-2.71335530779509	1
2	2011	4	-6.38740020761792	1
2	2012	0	4.59381120484451	1
2	2012	1	2.01064500006072	1
2	2012	2	-0.815509329417643	1
2	2012	3	-2.65568304784023	1
2	2012	4	-3.91014531556926	1
2	2013	0	4.70147121414917	1
2	2013	1	2.7123077295008	1
2	2013	2	-0.066515936792912	1
2	2013	3	-3.47316656203708	1
2	2013	4	-4.56979847974204	1
2	2014	0	4.48144618070719	1
2	2014	1	2.45364727562656	1
2	2014	2	0.244554448756779	1
2	2014	3	-1.87029174920408	1
2	2014	4	-2.94973042707269	1
2	2015	0	4.39484763232384	1
2	2015	1	1.71811605846107	1
2	2015	2	-0.239008411607557	1
2	2015	3	-2.46821141489062	1
2	2015	4	-3.72097148826664	1
2	2016	0	4.67019063508675	1
2	2016	1	1.84285660771051	1
2	2016	2	-0.540251514465404	1
2	2016	3	-2.92017192731729	1
2	2016	4	-3.49382083472274	1
2	2017	0	4.02432842692978	1
2	2017	1	2.11098657675258	1
2	2017	2	0.0516866822906219	1
2	2017	3	-2.8436238471493	1
